Artisan,Product_name,Principles,Materials,Processes,Industrial_scale_items,Regular_price,Last_price,Unit_price,Url
Olive mode,Giselle Mirror Metallic Crossbody: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,Regular price,https://www.olivemodeboutique.com/products/donna-mirror-metallic-crossbody-silver
Olive mode,Greece Twist Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$28.00 USD,Regular price,https://www.olivemodeboutique.com/products/greece-twist-top
Olive mode,Halle Black Cutwork Maxi,"woman owned, black owned",", , ,",", , ,",,Regular price,$126.00 USD,Regular price,https://www.olivemodeboutique.com/products/janet-black-cutwork-maxi
Olive mode,Houston Belted Romper,"woman owned, black owned",", , ,",", , ,",,Regular price,$28.00 USD,Regular price,https://www.olivemodeboutique.com/products/houston
Olive mode,Ice Roller - Terracotta,"woman owned, black owned",", , ,",", , ,",,Regular price,$18.00 USD,Regular price,https://www.olivemodeboutique.com/products/ice-roller-terracotta
Olive mode,INSTANT CHAMPAGNE COCKTAIL KIT,"woman owned, black owned",", , ,",", , ,",,Regular price,$30.00 USD,Regular price,https://www.olivemodeboutique.com/products/instant-champagne-cocktail-kit
Olive mode,Invite Only Bodysuit Sweater,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,Regular price,https://www.olivemodeboutique.com/products/sweater-bodysuit
Olive mode,Jada Green Mesh Cargo Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$108.00 USD,Regular price,https://www.olivemodeboutique.com/products/jada-green-cargo-dress
Olive mode,Janae Straw Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$60.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-evie-clutch
Olive mode,Jizel Vertical Scrunch Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,Regular price,https://www.olivemodeboutique.com/products/urban-expressions-rylee-clutch
Olive mode,Kelly Red Cutout Strappy Jumpsuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$159.00 USD,Regular price,https://www.olivemodeboutique.com/products/red-cutout-strappy-jumpsuit
Olive mode,Laneige Lip Sleeping Mask Treatment Balm Care,"woman owned, black owned",", , ,",", , ,",,Regular price,$24.00 USD,Regular price,https://www.olivemodeboutique.com/products/best-beauty-group-laneige-lip-sleeping-mask-treatment-balm-care
Olive mode,Last Call Vegan Leather Skirt,"woman owned, black owned",", , ,",", , ,",,Regular price,$92.00 USD,Regular price,https://www.olivemodeboutique.com/products/faux-leather-skirt
